date_time,members1,members2,members3,holiday,totalsales,nop
2021/5/24,14320,0,0,0,1373590646.0,925221
2021/5/25,13992,0,0,0,1375430469.0,920040
2021/5/26,14447,0,0,0,1378057875.0,915650
2021/5/27,14343,0,0,0,71967372.33,906718
2021/5/28,14273,0,0,0,75073925.94,903007
2021/5/29,14563,0,0,0,76519817.81,908103
2021/5/30,14288,0,0,0,74845132.91,896972
2021/5/31,14428,0,0,0,74134069.08,877317
2021/6/1,13249,0,0,0,73875986.89,856520
2021/6/2,11036,0,0,0,72577432.53,849877
2021/6/3,9148,0,0,0,71719692.02,834477
2021/6/4,7330,0,0,0,68863118.41,821239
2021/6/5,5300,0,0,0,67369214.19,810091
2021/6/6,3228,0,0,0,64720750.46,802086
2021/6/7,1224,0,0,0,62601462.86,801233
2021/6/8,544,0,0,0,63991417.99,803407
2021/6/9,589,0,0,0,67515723.9,800534
2021/6/10,600,0,0,0,67427216.69,804067
2021/6/11,581,0,0,0,67829494.53,816192
2021/6/12,536,0,0,1,90865309.19,818968
2021/6/13,504,0,0,2,88557003.13,790249
2021/6/14,493,0,0,3,89387263.98,786728
2021/6/15,488,0,0,3,118924234.5,800752
2021/6/16,475,0,0,3,113855769.3,804388
2021/6/17,505,0,0,3,121651559.2,801630
2021/6/18,552,0,0,3,142065351.8,784821
2021/6/19,599,0,0,2,117733748.7,781480
2021/6/20,651,0,0,1,120275636.7,812125
2021/6/21,674,0,0,0,120102657.1,816963
2021/6/22,670,0,0,0,87433843.48,787893
2021/6/23,696,0,0,0,88499044.04,770474
2021/6/24,670,0,0,0,80414599.68,757478
2021/6/25,0,0,0,0,60368489.04,747012
2021/6/26,0,0,0,0,61716024.5,729257
2021/6/27,0,0,0,0,61644407.31,706154
2021/6/28,0,0,0,0,362442015.2,686663
2021/6/29,0,0,0,0,365118632.7,681438
2021/6/30,0,0,0,0,369397351.5,671471
2021/7/1,0,0,0,0,367550293.4,617799
2021/7/2,614,0,0,0,363491172.8,615356
2021/7/3,675,0,0,0,361912013.1,622489
2021/7/4,731,0,0,0,360903747.1,640521
